"Path","Visits","Visitors"
"verano/life/readings/《月亮与六便士》读后感.md","33","14"
"verano/life/advanced/英文数字的表达.md","9","0"
"verano/life/guide/昵称由来.md","4","0"
"verano/life/play/2021-09-23.md","1","0"
"verano/life/dear diary/捡名字的人.md","3","1"
"verano/tech/mac/pr sequence.md","43","13"
"verano/life/advanced/学习计划.md","20","0"
"verano/life/play/固定支出.md","33","14"
"verano/life/advance/oral catena.md","40","13"
"verano/life/dear diary/舒适的表达习惯.md","38","13"
"verano/life/advance/英文百句.md","24","14"
"verano/tech/linux/linux version.md","50","13"
"verano/life/advance/软考复习指南.md","30","13"
"verano/life/dear diary/上海 迪士尼.md","1","0"
"verano/life/advance/翻硕百科词条.md","111","15"
"verano/life/play/《我们的歌》.md","16","0"
"verano/life/dear diary/别爱太满.md","48","14"
"verano/life/dear diary/初冬.md","80","13"
"verano/life/advanced/葡萄酒种类详解.md","7","0"
"verano/life/advance/三语种时态.md","1","0"
"verano/life/advanced/时间相关词汇.md","2","0"
"verano/life/guide/夏季常备.md","3","0"
"verano/life/readings/《横道世之介》.md","151","13"
"verano/life/advanced/衣物穿搭词汇.md","26","0"
"verano/tech/mac/软件备份.md","34","14"
"verano/life/play/杭州游记.md","155","14"
"verano/tech/win/常见问题.md","58","16"
"verano/life/dear diary/身处低谷，勿忘本心.md","24","14"
"verano/life/advance/时间相关习语.md","25","13"
"verano/life/play/转场剪辑.md","5","0"
"verano/life/dear diary/趣味儿故事【更新中】.md","257","29"
"about.md","285","58"
"verano/life/advance/寒冷天气词汇.md","22","13"
"verano/life/advanced/英文百句.md","1","0"
"verano/tech/mac/index+post+scss.md","8","0"
"verano/life/advance/方向指引词汇.md","31","13"
"verano/life/guide/雪景拍摄.md","25","13"
"verano/tech/linux/oneindex.md","89","15"
"verano/life/advance/学习工作计划.md","38","20"
"verano/life/dear diary/nice to meet u.md","117","18"
"verano/life/dear diary/好的生活状态.md","53","13"
"verano/life/play/《视频剪辑》.md","10","0"
"verano/life/dear diary/如何在假期 修身养性.md","8","0"
"verano/life/advanced/音乐相关习语.md","3","0"
"verano/life/advance/时间相关词汇.md","26","13"
"verano/life/dear diary/get up.md","15","0"
"verano/life/advance/prep+which用法.md","30","14"
"verano/life/dear diary/拉伸动作.md","38","15"
"verano/life/guide/美丽新西兰.md","46","14"
"verano/life/play/《有趣的小事》.md","18","1"
"verano/life/advanced/网规备考指南.md","16","0"
"verano/life/readings/《斗罗大陆》十年陪伴.md","109","16"
"verano/life/dear diary/to haijing.md","183","0"
"verano/life/guide/网站指南.md","41","13"
"verano/life/guide/语言谱系分类.md","34","14"
"verano/life/guide/specific symbols.md","31","13"
"verano/life/dear diary/回家.md","54","12"
"verano/life/advanced/寒冷天气词汇.md","5","0"
"verano/life/dear diary/八月，北京.md","143","23"
"verano/tech/mac/代理工具.md","50","14"
"verano/life/readings/《源氏物语》.md","88","14"
"verano/life/play/天津游记.md","94","13"
"verano/life/play/音调.md","62","13"
"verano/life/advanced/语言考试科目.md","3","0"
"verano/life/advanced/英语词汇学 笔记.md","19","0"
"verano/life/dear diary/假期箴言.md","63","17"
"verano/tech/linux/install trojan.md","66","15"
"verano/life/dear diary/好的习惯.md","36","13"
"verano/tech/linux/install ss on vps.md","78","13"
"verano/life/guide/胎记问题.md","54","13"
"verano/life/play/好听的歌.md","19","0"
"verano/life/play/《time scapes》.md","34","1"
"verano/life/dear diary/越是沮丧，越要自我救赎.md","29","14"
"verano/life/guide/iceland, europe.md","89","15"
"verano/life/guide/双板滑雪事项.md","40","12"
"verano/life/dear diary/nice to mee u.md","6","0"
"verano/life/advance/学习计划.md","25","14"
"verano/life/advance/语言考试科目.md","31","15"
"verano/life/dear diary/那些逝去的青春.md","42","14"
"verano/life/readings/阅读书单《2022年》.md","50","6"
"verano/life/play/电影剧集【更新中】.md","33","14"
"verano/life/play/上海 迪士尼.md","26","0"
"verano/tech/mac/ariang native配置.md","63","13"
"verano/life/advance/【英语词汇学】笔记.md","45","17"
"verano/life/advance/五语种时态.md","40","14"
"verano/life/play/the absurdity.md","36","13"
"verano/life/guide/国家图书馆指南.md","5","1"
"verano/life/advanced/交通警告标志.md","2","0"
"verano/life/play/春夏秋冬.md","111","14"
"verano/tech/mac/格式编码详述.md","41","13"
"verano/life/guide/auckland vacation.md","45","13"
"verano/life/advance/学习工作计划【近期】.md","15","1"
"verano/life/guide/kyoto, japan.md","61","13"
"verano/life/readings/世界正在走向崩溃？.md","23","14"
"verano/tech/mac/多媒体标签应用.md","3","1"
"verano/life/advance/水果相关习语.md","27","13"
"verano/life/dear diary/居家运动.md","12","0"
"verano/life/dear diary/孤独及其所创造的.md","125","13"
"verano/life/dear diary/妈妈写给女儿的信.md","41","16"
"verano/tech/mac/disqus.md","17","1"
"verano/life/readings/阅读中的自己.md","49","13"
"verano/life/advance/婴儿用品词汇.md","25","13"
"verano/life/dear diary/五一假期.md","98","4"
"verano/life/advance/葡萄酒种类详解.md","30","14"
"verano/tech/win/空格区分.md","43","13"
"verano/life/advance/英音习得方法.md","22","13"
"verano/life/advanced/马基概论.md","5","0"
"verano/life/advance/音乐相关习语.md","30","14"
"verano/life/dear diary/爱之于我.md","149","17"
"verano/life/guide/中西文化差异漫画.md","31","13"
"verano/life/dear diary/不谈亏欠，不负遇见.md","76","14"
"verano/life/advanced/时间相关习语.md","3","0"
"verano/life/dear diary/家装风格.md","29","17"
"verano/tech/win/licenses.md","44","17"
"verano/life/dear diary/它的诞生.md","116","14"
"verano/tech/mac/cloudflare.md","33","0"
"verano/life/dear diary/绝世唐门.md","162","13"
"verano/life/advanced/方向指引词汇.md","8","0"
"verano/life/dear diary/睡前故事.md","213","23"
"verano/life/advanced/婴儿用品词汇.md","2","0"
"verano/life/advance/词汇 每日一览.md","30","2"
"verano/life/guide/游玩去处.md","25","14"
"verano/life/play/《小品集锦》.md","17","0"
"verano/life/readings/随手笔记【更新中】.md","317","35"
"verano/life/readings/2022 阅读书单.md","1","0"
"verano/life/advanced/地理特征习语.md","4","0"
"verano/life/guide/the nickname.md","32","13"
"verano/life/advance/英文数字的表达.md","22","15"
"verano/life/dear diary/跟温柔的人在一起，很舒服.md","88","13"
"verano/life/guide/航空携品规定.md","52","13"
"verano/life/advance/交通警告标志.md","21","13"
"verano/tech/win/tags usage.md","1","0"
"verano/life/guide/营养学基础.md","80","10"
"verano/tech/linux/php crontab.md","39","14"
"verano/life/play/《hello world》.md","23","1"
"verano/life/advance/lexicology answers.md","1","0"
"verano/tech/linux/openvpn.md","4","0"
"verano/life/advanced/英音习得方法.md","4","0"
"verano/life/advance/衣物穿搭词汇.md","30","13"
"verano/life/dear diary/致 小仙女(๑˘ ₃˘๑).md","89","13"
"verano/life/guide/wellington vacation.md","45","13"
"template/license.txt","1","0"
"verano/life/advance/地理特征习语.md","30","14"
"verano/life/play/音频外链.md","36","14"
"verano/life/play/hello world.md","20","3"
"verano/life/advanced/水果相关习语.md","8","0"
"verano/life/advanced/prep+which用法.md","6","0"
"verano/life/play/风居住的街道.md","42","14"
"verano/life/dear diary/相信，本身也是一种拥有.md","39","13"
